,Year,GBP per BTC
161,2014-12-06,241.66023913650884
162,2014-12-16,223.91156132033692
163,2014-12-26,191.41301780297417
164,2015-01-05,121.86608665086474
165,2015-01-15,172.96611635282142
166,2015-01-25,160.1318905620048
167,2015-02-04,167.43810743480233
168,2015-02-14,172.96022619139077
169,2015-02-24,188.9924534513071
170,2015-03-06,201.98506155420975
171,2015-03-16,170.1895557490387
172,2015-03-26,173.4778280461707
173,2015-04-05,150.24297305550618
174,2015-04-15,163.11236882849204
175,2015-04-25,180.50163467925944
176,2015-05-05,187.29585163500917
177,2015-05-15,183.5449179980753
178,2015-05-25,172.2694151141088
179,2015-06-04,180.1538000431879
180,2015-06-14,189.11934551410286
181,2015-06-24,195.80559118581246
182,2015-07-04,222.01333623754653
183,2015-07-14,210.49897377894314
184,2015-07-24,219.88511548133073
185,2015-08-03,211.97742921137612
186,2015-08-13,191.44504089803067
187,2015-08-23,189.02725137009008
188,2015-09-02,194.26080632392626
189,2015-09-12,183.0768626544209
190,2015-09-22,193.66286890341047
191,2015-10-02,198.22902521188732
192,2015-10-12,217.18140331306194
193,2015-10-22,259.2125788012739
194,2015-11-01,273.55297016948236
195,2015-11-11,265.380244666854
196,2015-11-21,302.66776478110086
197,2015-12-01,332.3448480542667
198,2015-12-11,357.5615688653392
199,2015-12-21,343.96328199060457
200,2015-12-31,366.3054670429203
201,2016-01-10,311.10507156816556
202,2016-01-20,304.1798936399635
203,2016-01-30,298.02331002891697
204,2016-02-09,341.229613702917
205,2016-02-19,339.3407072878641
206,2016-02-29,323.81134848861524
207,2016-03-10,320.6232092628805
208,2016-03-20,320.54728007010976
209,2016-03-30,325.47430192073205
210,2016-04-09,337.3696735976933
211,2016-04-19,356.2087993897747
212,2016-04-29,357.25649438079904
213,2016-05-09,352.94528617833083
214,2016-05-19,407.086971657348
215,2016-05-29,445.07062807376053
216,2016-06-08,580.8324567653033
217,2016-06-18,516.6264995543029
218,2016-06-28,499.3654930490594
219,2016-07-08,519.6445892935698
220,2016-07-18,498.50702991669914
221,2016-07-28,447.3057802723735
222,2016-08-07,438.3618632050039
223,2016-08-17,443.54794629267303
224,2016-08-27,463.643006843682
225,2016-09-06,463.0091961989929
226,2016-09-16,457.7637170685709
227,2016-09-26,467.91857711801987
228,2016-10-06,489.07890285624404
229,2016-10-16,497.12472527459556
230,2016-10-26,536.3280525204578
231,2016-11-05,528.5452534971125
232,2016-11-15,537.9875838026945
233,2016-11-25,534.5323487684569
234,2016-12-05,564.6502990265391
235,2016-12-15,643.8119155516334
236,2016-12-25,748.5147804925214
237,2017-01-04,607.6936140264012
238,2017-01-14,658.9775478979728
239,2017-01-24,723.149496479907
240,2017-02-03,716.6285827193258
241,2017-02-13,797.7484106213096
242,2017-02-23,922.0178093086586
243,2017-03-05,923.7772801186666
244,2017-03-15,695.4130165268614
245,2017-03-25,866.8712127297981
246,2017-04-04,879.2215251210635
247,2017-04-14,944.7288462071474
248,2017-04-24,1167.5399513177088
249,2017-05-04,1349.4910733781298
250,2017-05-14,1733.0789211031708
251,2017-05-24,1913.6358409362929
252,2017-06-03,2054.7880866100268
253,2017-06-13,2136.223955118926
254,2017-06-23,1963.4872018153203
255,2017-07-03,1853.4734739694768
256,2017-07-13,2206.485077217188
257,2017-07-23,2083.3146292286547
258,2017-08-02,2820.3184034684245
259,2017-08-12,3093.5138265648925
260,2017-08-22,3746.2338661985264
261,2017-09-01,3316.8873614625472
262,2017-09-11,3035.370820350518
263,2017-09-21,3718.391139624468
264,2017-10-01,3765.8243421018124
265,2017-10-11,4783.400287840926
266,2017-10-21,4964.143307606571
267,2017-10-31,5721.906633885058
268,2017-11-10,6346.640731088261
269,2017-11-20,7532.959485473443
270,2017-11-30,11699.029923217722
271,2017-12-10,13810.515305805407
272,2017-12-20,11037.126165576927
273,2017-12-30,11420.702607730584
274,2018-01-09,8520.512069165901
275,2018-01-19,8802.783139006468
276,2018-01-29,5717.76682706249
277,2018-02-08,8539.527723983834
